Unnamed: 0,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0.0,X.Worthy,Kansas City Chiefs,2,0,0,0,2,-10,0,0,-10,-5.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
1.0,T.Kelce,Kansas City Chiefs,16,14,100,0,0,0,0,0,0,0.0,0,0.0,0,0,0,20,1,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
2.0,S.Perine,Kansas City Chiefs,5,4,25,1,1,10,0,1,10,10.0,0,0.0,0,0,10,11,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
3.0,K.Hunt,Kansas City Chiefs,1,1,11,0,27,106,1,7,106,3.9,0,0.0,0,0,15,11,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
4.0,P.Mahomes,Kansas City Chiefs,0,0,0,0,2,9,0,1,9,4.5,0,0.0,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1104,Tampa Bay Buccaneers,1,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
5.0,C.Otton,Tampa Bay Buccaneers,11,8,77,1,0,0,0,0,0,0.0,0,0.0,0,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
6.0,R.White,Tampa Bay Buccaneers,3,3,16,0,3,19,1,2,19,6.3,0,0.0,0,0,9,11,0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
7.0,S.Shepard,Tampa Bay Buccaneers,5,4,48,0,2,21,0,2,21,10.5,0,0.0,0,0,19,18,0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
8.0,B.Irving,Tampa Bay Buccaneers,3,3,10,0,7,24,0,1,24,3.4,0,0.0,0,0,8,7,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
9.0,B.Mayfield,Tampa Bay Buccaneers,0,0,0,0,4,20,0,0,0,0.0,0,0.0,0,0,10,0,0,1.0,20.0,5.0,0.0,0.0,0.0,100.0,1104,Kansas City Chiefs,0,GEHA Field at Arrowhead,outdoors,grass,63,100,6,65,Rain
