,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Correct,Actual Value
0,D.Vele o28.5 receiving yards,Rotowire Prizepicks,Denver Broncos,d.vele,Los Angeles Chargers,0,0.5,0,0.3333333333333333,0,0.6,1,66,3,51,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,N,21.0
1,M.Mims o23.5 receiving yards,Rotowire Prizepicks,Denver Broncos,m.mims,Los Angeles Chargers,0,0.2307692307692307,0,0.6666666666666666,1,0.6,1,66,3,50,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,62.0
2,C.Sutton o62.5 receiving yards,Rotowire Prizepicks,Denver Broncos,c.sutton,Los Angeles Chargers,0,0.5384615384615384,1,0.6666666666666666,1,0.8,1,66,3,50,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,N,50.0
3,G.Edwards o35.5 rushing yards,Rotowire Prizepicks,Los Angeles Chargers,g.edwards,Denver Broncos,1,0.3,0,0.3333333333333333,0,0.2,0,66,3,50,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,68.0
4,B.Nix o18.5 rushing yards,Rotowire Prizepicks,Denver Broncos,b.nix,Los Angeles Chargers,0,0.5,0,0.3333333333333333,0,0.2,0,66,3,50,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,25.0
5,K.Vidal o25.5 rushing yards,Rotowire Sleeper,Los Angeles Chargers,k.vidal,Denver Broncos,1,0.1428571428571428,0,0.3333333333333333,0,0.2,0,66,3,50,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,N,24.0
6,G.Edwards o34.5 rushing yards,Rotowire Prizepicks,Los Angeles Chargers,g.edwards,Denver Broncos,1,0.3,0,0.3333333333333333,0,0.2,0,67,3,47,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,68.0
7,D.Vele o29.5 receiving yards,Rotowire Prizepicks,Denver Broncos,d.vele,Los Angeles Chargers,0,0.5,0,0.3333333333333333,0,0.6,1,67,3,47,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,N,21.0
8,J.Palmer o32.5 receiving yards,Rotowire Prizepicks,Los Angeles Chargers,j.palmer,Denver Broncos,1,0.6153846153846154,1,0.3333333333333333,0,0.4,0,67,3,47,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,41.0
9,L.McConkey o64.5 Rec Yds,ThePropfessor_,Los Angeles Chargers,l.mcconkey,Denver Broncos,1,0.3846153846153846,0,0.6666666666666666,1,0.6,1,64,6,51,1,Foggy,SoFi,indoors,turf,-110.0,1.1,2.1,1.0,Y,87.0
10,G.Edwards o33.5 rushing yards,Rotowire Prizepicks,Los Angeles Chargers,g.edwards,Denver Broncos,1,0.3,0,0.3333333333333333,0,0.2,0,64,5,55,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,68.0
11,M.Mims o0.5 rush_td+rec_td,GDAWG5000,Denver Broncos,m.mims,Los Angeles Chargers,0,0.1538461538461538,0,0.3333333333333333,0,0.4,0,64,5,55,1,Foggy,SoFi,indoors,turf,550.0,0.5,3.25,2.75,N,0.0
12,J.Herbert u227.5 passing yards,Rohit Ponnaiya,Los Angeles Chargers,j.herbert,Denver Broncos,1,0.6428571428571429,1,1.0,1,0.8,1,64,5,55,1,Foggy,SoFi,indoors,turf,100.0,0.75,1.5,0.75,N,284.0
13,C.Sutton o62.5 receiving yards,Rohit Ponnaiya,Denver Broncos,c.sutton,Los Angeles Chargers,0,0.5384615384615384,1,0.6666666666666666,1,0.8,1,64,5,55,1,Foggy,SoFi,indoors,turf,100.0,0.75,1.5,0.75,N,50.0
14,B.Nix u21.5 rushing yards,Rohit Ponnaiya,Denver Broncos,b.nix,Los Angeles Chargers,0,0.5,0,0.6666666666666666,1,0.8,1,64,5,55,1,Foggy,SoFi,indoors,turf,100.0,0.75,1.5,0.75,N,25.0
15,T.Franklin o17.5 receiving yards,Rotowire Prizepicks,Denver Broncos,t.franklin,Los Angeles Chargers,0,0.4615384615384615,0,0.6666666666666666,1,0.4,0,64,5,55,1,Foggy,SoFi,indoors,turf,100.0,1.5,3.0,1.5,Y,25.0
